response_id,session_id,timestamp,age_group,gender,prefecture,driving_experience,ev_experience,sound_sensitivity,best_sound,worst_sound,sd_Prius_volume,sd_Prius_texture,sd_Prius_pleasantness,sd_Prius_arousal,sd_Prius_luxury,sd_Prius_innovation,sd_Prius_power,sd_Prius_safety,sd_Prius_naturalness,purchase_intent_Prius,wtp_Prius,sd_Fit_volume,sd_Fit_texture,sd_Fit_pleasantness,sd_Fit_arousal,sd_Fit_luxury,sd_Fit_innovation,sd_Fit_power,sd_Fit_safety,sd_Fit_naturalness,purchase_intent_Fit,wtp_Fit,sd_Model3_volume,sd_Model3_texture,sd_Model3_pleasantness,sd_Model3_arousal,sd_Model3_luxury,sd_Model3_innovation,sd_Model3_power,sd_Model3_safety,sd_Model3_naturalness,purchase_intent_Model3,wtp_Model3,sound_importance
49,038ae4e5-f269-49db-a2a4-f52020394b87,2026-01-11T07:55:37.410863,20-29歳,男性,長崎県,5-10年,乗ったことはない,3,Prius,Model3,-1,-1,2,0,3,0,1,-1,1,4,3万円まで,-1,0,1,-1,3,-1,1,-1,2,3,1万円まで,1,-1,-1,2,0,1,-2,-1,-3,3,1万円まで,5
50,b7b63d00-b206-4673-8a20-c93b18cb9cd9,2026-01-06T22:24:37.410897,30-39歳,男性,兵庫県,1-5年,所有している,7,Prius,Fit,2,3,1,0,1,2,-2,1,-2,4,1万円まで,1,-2,0,1,-1,-1,-1,2,3,4,3万円まで,0,-2,0,2,-1,3,3,1,0,4,10万円まで,7
51,cb61c8fa-bdf3-4574-b269-f92042aa0247,2026-01-11T17:59:37.410934,40-49歳,女性,山形県,5-10年,乗ったことはない,4,Model3,Fit,0,0,2,-2,1,0,0,3,2,3,1万円まで,-3,-1,0,2,0,-1,-2,0,1,3,0円（追加では支払いたくない）,0,0,2,2,1,2,1,3,-1,3,5万円まで,6
52,aaaec880-ce23-4e92-8c45-56e71e1218f9,2026-01-09T11:33:37.410971,60-70歳,女性,島根県,1-5年,乗ったことはない,6,Model3,Prius,2,2,0,-3,2,3,-1,1,-1,4,5万円まで,0,1,1,1,-2,2,1,0,3,5,5万円まで,2,3,0,2,0,0,3,1,-2,4,5万円まで,5
53,753124e3-4719-46c1-ab75-babdc8d75bce,2026-01-11T06:20:37.411008,50-59歳,女性,大阪府,10-20年,乗ったことはない,8,Model3,Prius,0,2,0,0,3,1,3,2,-3,4,5万円まで,2,2,3,2,-1,1,0,0,3,4,3万円まで,2,3,2,2,3,2,1,3,-2,3,1万円まで,5
54,94a4f945-f79f-4975-a13c-a78c273d5330,2026-01-12T13:18:37.411041,40-49歳,男性,東京都,1年未満,試乗したことがある,5,Prius,Model3,1,0,3,0,0,0,-1,0,1,4,10万円まで,-1,2,0,0,0,-2,-1,1,1,2,1万円まで,1,-2,0,2,-2,0,1,1,-2,5,3万円まで,5
55,3be37b35-58a4-404c-8556-0334f2116b9e,2026-01-05T08:42:37.411075,40-49歳,女性,大阪府,20年以上,乗ったことはない,7,Prius,Fit,2,1,2,0,2,2,-2,0,-1,4,3万円まで,0,2,1,-1,-1,-1,0,1,0,4,5万円まで,-1,0,-1,1,1,3,3,1,-1,4,1万円まで,5
56,d4de5cec-9dd1-4531-bdbd-bb1dfbc5ed1a,2026-01-08T07:58:37.411108,50-59歳,男性,埼玉県,10-20年,試乗したことがある,4,Prius,Fit,0,3,0,0,2,3,-1,3,1,5,5万円まで,-1,-1,0,1,0,-2,1,-1,0,4,3万円まで,0,-1,-1,2,1,3,2,1,-3,5,5万円まで,5
57,a121ee85-d2d7-4c3a-a1d4-678072f0a0e0,2026-01-12T14:18:37.411144,20-29歳,男性,山形県,1-5年,所有している,8,Model3,Fit,2,-1,1,-1,2,1,-1,1,-1,3,5万円まで,-2,2,0,3,-2,1,-1,0,1,3,5万円まで,1,1,-1,2,2,2,0,1,-3,4,10万円まで,8
58,97603b46-a447-46d0-93c7-6abb2c6db55a,2026-01-06T03:46:37.411176,40-49歳,男性,愛知県,20年以上,乗ったことはない,7,Model3,Fit,2,2,0,-2,0,1,-1,1,1,4,10万円まで,3,0,0,0,-3,1,2,0,0,4,5万円まで,2,-1,1,2,0,2,1,0,-2,3,1万円まで,6
59,cb0c71ac-37b2-4e68-b7b0-61ead1c92356,2026-01-12T12:56:37.411212,40-49歳,男性,山梨県,5-10年,試乗したことがある,5,Model3,Fit,2,1,2,-1,3,2,-2,1,-2,5,10万円まで,1,-1,1,-1,0,-1,0,1,-1,2,0円（追加では支払いたくない）,1,0,1,1,0,1,3,2,-2,5,20万円まで,5
60,20c8c0ea-b329-4c54-a2ad-e529c9967cd9,2026-01-08T04:22:37.411243,40-49歳,女性,秋田県,10-20年,試乗したことがある,3,Model3,Fit,0,-1,2,0,2,0,0,0,1,4,5万円まで,-1,2,2,-1,-1,-1,0,1,0,3,3万円まで,0,2,2,3,0,3,0,2,-1,4,5万円まで,7
61,bd81fe5a-8078-4b94-abce-f03bd4fa915e,2026-01-11T21:49:37.411279,50-59歳,男性,徳島県,20年以上,乗ったことはない,6,Model3,Fit,2,2,1,1,0,1,-2,1,0,4,3万円まで,0,0,1,0,1,1,2,0,1,4,1万円まで,-1,1,0,3,1,0,2,2,-1,3,1万円まで,8
62,b3aeeec3-e7c3-43f2-84c4-e3414d17185b,2026-01-07T18:23:37.411315,50-59歳,男性,岐阜県,5-10年,所有している,7,Model3,Fit,1,1,1,0,3,3,1,1,1,5,5万円まで,2,-1,1,-1,-1,1,-3,1,3,3,3万円まで,3,2,2,0,2,3,1,1,1,4,3万円まで,7
63,f06d99b1-7c30-4692-a1ff-5275fd33b565,2026-01-05T08:43:37.411348,60-70歳,女性,徳島県,1-5年,乗ったことはない,3,Prius,Fit,1,1,-2,0,1,1,1,3,1,5,5万円まで,1,-1,0,-1,-1,-2,1,1,2,3,1万円まで,0,2,0,-3,1,3,1,0,-1,4,3万円まで,5
64,568f4e53-a13f-4b6e-92a3-987f561e6ebf,2026-01-10T07:59:37.411381,60-70歳,女性,長野県,20年以上,所有している,7,Prius,Model3,2,1,0,0,3,1,1,2,1,4,3万円まで,-1,1,0,1,0,-1,2,1,1,5,10万円まで,1,0,-2,1,0,2,3,-1,-3,4,10万円まで,8
65,5d3111d0-7696-4a58-a366-e975f825f412,2026-01-08T02:17:37.411411,30-39歳,男性,徳島県,1年未満,試乗したことがある,7,Prius,Model3,2,1,2,-1,1,-1,0,3,0,5,5万円まで,3,2,0,0,-2,-2,0,1,1,4,5万円まで,1,2,-2,0,3,1,0,-1,-2,5,20万円まで,5
66,de880a7c-88e9-4609-96ed-003858469ce3,2026-01-10T01:22:37.411442,30-39歳,男性,北海道,5-10年,試乗したことがある,3,Prius,Fit,3,2,1,1,0,-1,-2,2,1,3,1万円まで,-2,0,-2,1,-2,-2,1,-1,2,4,5万円まで,1,-1,1,3,0,1,-1,1,-1,5,5万円まで,8
67,c1d3b898-e0a5-4eda-89e3-0c5c0515f125,2026-01-12T11:38:37.411473,50-59歳,男性,和歌山県,20年以上,乗ったことはない,5,Prius,Fit,3,-1,3,-1,0,2,0,0,2,4,3万円まで,-1,0,2,-2,0,-1,0,1,2,5,20万円まで,0,1,1,0,2,0,2,0,0,4,3万円まで,5
68,f2a4c3d6-69c3-41a5-8f88-3fd6bde607ac,2026-01-05T02:09:37.411505,60-70歳,男性,千葉県,10-20年,乗ったことはない,5,Prius,Model3,0,2,2,-1,1,2,0,1,1,4,5万円まで,1,0,-3,0,0,-1,0,1,1,3,1万円まで,-1,-1,-1,1,0,1,1,-1,-1,4,3万円まで,8
69,939c93ed-47d2-4453-b21a-8ff1b7142595,2026-01-04T22:11:37.411536,30-39歳,女性,大阪府,1-5年,試乗したことがある,5,Prius,Fit,0,1,1,-1,3,3,-1,1,1,3,3万円まで,1,1,0,-1,2,-3,0,2,3,5,10万円まで,1,1,2,0,3,0,3,-1,-3,4,5万円まで,7
70,c0ff9214-4ce2-47e1-bd42-61028819810a,2026-01-07T21:02:37.411567,20-29歳,女性,高知県,1-5年,所有している,7,Prius,Fit,3,1,1,2,2,0,1,1,0,5,5万円まで,2,-2,1,1,1,0,1,0,0,2,0円（追加では支払いたくない）,2,1,0,0,2,0,-1,2,-1,4,3万円まで,9
71,ebf78e9f-ad51-45a0-bb5d-351d73382f5c,2026-01-10T09:18:37.411600,40-49歳,女性,熊本県,20年以上,所有している,5,Model3,Fit,2,3,0,-1,-1,0,-3,1,2,5,10万円まで,0,-1,1,0,-1,1,0,1,1,3,10万円まで,3,2,1,3,0,3,2,1,-1,6,5万円まで,6
72,89bde497-7aa0-4726-9f41-e9dad5ae5f93,2026-01-06T16:29:37.411635,20-29歳,男性,福島県,20年以上,所有している,4,Model3,Fit,0,0,1,1,-3,1,-1,2,0,3,5万円まで,-2,1,0,2,0,-1,0,0,-1,3,3万円まで,2,-1,2,2,0,2,3,2,-1,5,20万円まで,5
73,038a5213-d61c-40ea-9c59-2b907f6c3fdc,2026-01-06T17:31:37.411734,40-49歳,女性,京都府,5-10年,乗ったことはない,8,Model3,Fit,3,1,0,-1,1,1,0,3,1,5,20万円まで,0,1,2,0,1,-2,2,0,3,4,5万円まで,1,2,0,2,3,3,3,2,0,6,5万円まで,9
74,4338f7fa-6cee-4cc0-997b-9577e6c5dbd3,2026-01-06T10:06:37.411768,60-70歳,男性,沖縄県,10-20年,乗ったことはない,8,Model3,Fit,1,1,3,-2,1,1,1,2,0,4,3万円まで,-1,1,1,0,-3,0,0,1,2,4,5万円まで,1,1,0,0,1,3,2,0,1,4,1万円まで,9
75,98c7e82e-6bae-4711-97a2-7581732fa255,2026-01-09T13:26:37.411801,50-59歳,男性,山口県,10-20年,試乗したことがある,7,Prius,Fit,1,0,3,-2,2,0,2,3,0,4,1万円まで,-2,1,0,0,-2,-1,0,-2,2,4,1万円まで,0,1,2,2,2,0,1,1,-1,4,5万円まで,5
76,07e9a470-6480-47c1-afba-f408faace1bc,2026-01-07T18:23:37.411832,30-39歳,男性,北海道,5-10年,所有している,3,Prius,Fit,0,0,0,2,-1,2,-1,3,1,4,3万円まで,-2,0,3,-2,1,-2,-2,1,0,4,5万円まで,2,0,-1,1,1,2,2,-1,-2,4,5万円まで,5
77,8a75fe07-3cce-4829-9547-bf1885dee003,2026-01-04T23:30:37.411865,30-39歳,女性,熊本県,5-10年,乗ったことはない,4,Fit,Prius,2,0,3,-2,2,1,0,0,0,5,5万円まで,2,2,-1,0,1,0,1,1,1,5,10万円まで,1,1,0,1,-1,2,2,1,0,3,3万円まで,8
78,ceb0957e-d5b8-47e0-9894-882daeefe0ef,2026-01-10T03:16:37.411896,60-70歳,女性,香川県,1年未満,乗ったことはない,6,Fit,Prius,3,0,1,-1,1,0,-3,3,0,4,3万円まで,2,1,1,0,-1,0,2,1,2,4,1万円まで,2,0,1,1,0,2,2,0,0,6,30万円以上,9
79,733aa41b-327a-46d6-8bda-b35a637e6547,2026-01-04T22:55:37.411927,60-70歳,女性,秋田県,5-10年,試乗したことがある,6,Prius,Fit,0,1,1,0,3,2,0,1,1,4,5万円まで,0,0,3,-1,0,0,0,0,1,4,1万円まで,0,3,0,2,0,1,0,1,-2,5,5万円まで,6
80,fb8e54d1-eda4-4c8a-98b5-545246903dc4,2026-01-09T22:41:37.411958,40-49歳,女性,佐賀県,10-20年,乗ったことはない,4,Model3,Prius,0,0,0,-1,0,1,1,2,0,3,1万円まで,0,2,0,1,1,-2,1,0,3,3,3万円まで,-1,3,2,0,1,3,2,1,-2,3,1万円まで,6
81,69b27ad9-0605-4003-9a1f-c09b5eb581fb,2026-01-06T22:53:37.411993,30-39歳,女性,岐阜県,5-10年,乗ったことはない,6,Prius,Fit,3,1,-1,2,2,1,0,2,-2,4,1万円まで,1,1,1,0,-1,0,1,1,1,4,3万円まで,2,0,-2,2,3,3,0,0,-1,5,10万円まで,8
82,2c8b856e-6e93-4132-910b-becdd87958f3,2026-01-10T03:15:37.412029,30-39歳,女性,埼玉県,20年以上,乗ったことはない,7,Model3,Fit,1,1,2,-1,1,1,-1,2,-1,4,5万円まで,1,0,-1,-1,-1,1,1,1,-1,5,10万円まで,0,2,3,1,-1,3,3,0,-1,5,5万円まで,6
83,1d5dc16f-999d-4e52-92db-4f1f50abb337,2026-01-11T03:09:37.412060,60-70歳,男性,山口県,5-10年,乗ったことはない,3,Model3,Fit,0,2,0,-1,1,0,0,1,0,4,3万円まで,-2,-1,-1,-1,-2,0,-1,0,1,3,3万円まで,1,1,2,2,2,1,1,0,-3,4,5万円まで,5
84,d2854fee-65ed-4879-849b-918cb2d88a6c,2026-01-09T11:43:37.412092,20-29歳,女性,千葉県,10-20年,試乗したことがある,3,Model3,Fit,1,1,1,-1,2,-1,-1,1,-1,3,3万円まで,-1,1,1,-2,1,0,0,2,0,4,1万円まで,0,1,0,2,1,2,0,1,0,5,5万円まで,5
85,c7533036-c560-4754-80af-1262b89dbb4b,2026-01-07T00:16:37.412125,50-59歳,男性,岡山県,20年以上,乗ったことはない,8,Prius,Fit,1,0,3,1,3,2,0,2,2,4,3万円まで,1,1,1,-2,0,-1,2,0,3,3,3万円まで,-1,2,3,1,2,3,0,3,-2,5,5万円まで,5
86,7210ccbc-1113-4afb-94ad-76d3ede1dc00,2026-01-11T15:55:37.412157,40-49歳,女性,三重県,5-10年,乗ったことはない,7,Model3,Fit,1,-1,1,-1,0,0,-1,1,2,3,3万円まで,-1,0,0,0,-2,2,-1,1,3,4,5万円まで,0,1,1,3,1,3,2,0,0,3,0円（追加では支払いたくない）,6
87,94d5d984-a8d9-415b-8219-cfd88061632c,2026-01-09T15:33:37.412188,40-49歳,男性,宮崎県,10-20年,試乗したことがある,5,Model3,Prius,0,1,0,-2,2,2,-2,1,0,4,3万円まで,2,0,1,0,0,-3,1,0,3,5,20万円まで,1,1,1,2,1,3,2,2,-2,5,20万円まで,6
88,6ee3ec71-d6fc-4f44-ba25-c4d6e0223196,2026-01-07T22:15:37.412220,20-29歳,男性,青森県,5-10年,試乗したことがある,3,Prius,Model3,1,0,0,1,2,1,1,1,2,5,5万円まで,0,1,1,-1,0,-1,1,0,2,5,20万円まで,0,0,1,2,1,1,1,-2,-1,4,1万円まで,8
89,add95151-6fb4-40fa-a6eb-7410f8c442b8,2026-01-09T05:18:37.412252,60-70歳,男性,青森県,10-20年,乗ったことはない,5,Prius,Fit,3,2,1,0,1,1,-1,0,0,6,30万円以上,-1,2,3,1,1,-2,0,0,0,4,5万円まで,2,0,0,1,1,2,2,1,-3,4,3万円まで,8
90,06030d71-636e-41d8-9056-833694c50ca9,2026-01-05T08:05:37.412283,50-59歳,女性,奈良県,5-10年,乗ったことはない,3,Prius,Model3,2,2,1,-1,2,0,-1,2,0,4,1万円まで,1,0,2,1,0,0,2,-2,2,3,3万円まで,-1,2,-1,2,0,0,3,1,-1,4,10万円まで,7
91,a581dcad-045f-4347-a8f6-aa084662370c,2026-01-09T18:49:37.412317,40-49歳,男性,兵庫県,5-10年,試乗したことがある,3,Model3,Fit,2,1,0,-1,0,0,-1,1,-1,5,5万円まで,-2,2,2,-1,0,-1,-2,0,0,4,5万円まで,0,2,2,1,1,2,3,0,-1,5,5万円まで,6
92,600deeae-e218-479f-ae3c-9209a0c979ee,2026-01-05T05:39:37.412352,20-29歳,男性,広島県,10-20年,乗ったことはない,5,Model3,Fit,0,2,1,0,0,0,-1,-1,1,4,1万円まで,1,2,1,-1,-2,-2,1,2,0,3,1万円まで,1,3,-1,1,-1,3,0,2,-1,5,5万円まで,6
93,bcccc1ec-db76-4595-8fc1-255ae6d246c6,2026-01-12T13:27:37.412384,40-49歳,女性,千葉県,20年以上,乗ったことはない,6,Prius,Fit,2,0,3,1,3,2,-1,0,-1,4,5万円まで,0,1,2,1,-3,-1,1,2,1,4,5万円まで,0,1,1,2,2,-1,3,-2,-1,3,3万円まで,8
94,012ed905-2cb1-4efd-b8bf-c7b08559b0d4,2026-01-06T15:26:37.412417,40-49歳,男性,茨城県,5-10年,乗ったことはない,8,Prius,Model3,3,-1,1,-1,1,3,1,1,-1,3,1万円まで,0,2,1,0,0,-2,0,2,1,4,3万円まで,0,-1,1,1,2,1,2,-1,-1,4,5万円まで,8
95,f86f4478-1f2a-45ed-b1d9-cdccb8e87dcf,2026-01-05T08:26:37.412448,30-39歳,男性,宮城県,10-20年,乗ったことはない,8,Model3,Fit,2,1,0,2,2,0,-1,0,2,4,5万円まで,1,0,2,1,-3,1,0,1,3,5,10万円まで,2,1,3,1,0,1,2,2,-1,3,0円（追加では支払いたくない）,9
96,ef6949b6-a443-4152-937c-ed33102405a7,2026-01-08T20:20:37.412480,40-49歳,女性,熊本県,1-5年,試乗したことがある,3,Prius,Fit,2,0,2,-1,3,0,-1,2,0,4,3万円まで,-2,-1,-1,0,0,-1,-1,-2,2,3,3万円まで,1,2,1,0,1,1,-2,0,-2,4,5万円まで,5
97,bfd4db92-89c9-4007-b5d3-f645bc7045b7,2026-01-09T21:19:37.412512,30-39歳,女性,三重県,10-20年,乗ったことはない,8,Fit,Model3,3,1,1,0,0,0,-1,1,2,6,20万円まで,0,1,2,1,2,0,1,2,3,4,5万円まで,0,0,0,2,1,3,2,1,-2,5,10万円まで,9
98,dedef342-f782-473f-bdb1-de1ac041455d,2026-01-05T19:38:37.412544,30-39歳,女性,山梨県,1-5年,乗ったことはない,7,Fit,Model3,1,1,2,-1,2,2,0,3,0,5,10万円まで,1,1,2,0,0,2,2,1,2,4,3万円まで,0,1,0,2,3,2,0,0,0,5,5万円まで,8
99,ac5c0bd9-10d4-4597-b27a-de6baf09905b,2026-01-12T04:37:37.412575,20-29歳,女性,栃木県,10-20年,乗ったことはない,4,Prius,Model3,1,1,1,0,1,1,0,-1,3,5,10万円まで,0,0,1,0,1,-1,0,1,2,4,3万円まで,1,0,0,0,-1,1,1,2,-1,3,3万円まで,5
100,bf0ba0eb-adbf-4bdd-9cad-c4aebd9206f1,2026-01-08T13:59:37.412606,60-70歳,男性,埼玉県,1年未満,乗ったことはない,7,Prius,Model3,2,1,3,2,3,0,-1,3,-1,7,20万円まで,-2,1,2,0,-3,0,2,0,3,4,5万円まで,3,-2,1,-3,0,3,1,-1,-3,4,5万円まで,7
